,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Frequency of Purchases (Numeric),CLV
1,2,19,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2.0,Cash,Fortnightly,26.0,1664.0
2,3,50,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23.0,Credit Card,Weekly,52.0,3796.0
3,4,21,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49.0,PayPal,Weekly,52.0,4680.0
5,6,46,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14.0,Venmo,Weekly,52.0,1040.0
6,7,63,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49.0,Cash,Quarterly,25.826981246218995,2195.2934059286144
7,8,27,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19.0,Credit Card,Weekly,52.0,1768.0
8,9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8.0,Venmo,Annually,1.0,97.0
9,10,57,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4.0,Cash,Quarterly,25.826981246218995,800.6364186327888
10,11,53,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26.0,Bank Transfer,Bi-Weekly,25.826981246218995,878.1173623714459
11,12,30,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10.0,Bank Transfer,Fortnightly,26.0,1768.0
12,13,61,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37.0,Venmo,Fortnightly,26.0,1872.0
13,14,65,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31.0,PayPal,Weekly,52.0,2652.0
14,15,64,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly,52.0,2756.0
16,17,25,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44.0,Debit Card,Bi-Weekly,25.826981246218995,929.7713248638838
17,18,53,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36.0,Venmo,Quarterly,25.826981246218995,981.4252873563219
18,19,52,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17.0,Cash,Weekly,52.0,2496.0
19,20,66,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly,25.826981246218995,2324.4283121597095
20,21,21,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50.0,Cash,Every 3 Months,25.826981246218995,1317.1760435571687
21,22,31,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22.0,Debit Card,Quarterly,25.826981246218995,1601.2728372655777
22,23,56,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32.0,Debit Card,Annually,1.0,37.0
23,24,31,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40.0,Credit Card,Weekly,52.0,4576.0
24,25,18,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly,52.0,1144.0
25,26,18,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14.0,PayPal,Annually,1.0,25.0
26,27,38,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13.0,Credit Card,Annually,1.0,20.0
27,28,56,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months,25.826981246218995,1446.3109497882638
28,29,54,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months,25.826981246218995,2427.7362371445856
29,30,31,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14.0,Credit Card,Weekly,52.0,2496.0
30,31,57,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16.0,Credit Card,Monthly,25.826981246218995,800.6364186327888
31,32,33,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45.0,Venmo,Monthly,25.826981246218995,2040.3315184513006
32,33,36,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37.0,Venmo,Annually,1.0,67.0
33,34,54,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,25.826981246218995,981.4252873563219
34,35,36,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38.0,PayPal,Quarterly,25.826981246218995,2350.2552934059286
36,37,35,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44.0,PayPal,Fortnightly,26.0,1794.0
37,38,35,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10.0,PayPal,Weekly,52.0,2340.0
38,39,29,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,25.826981246218995,955.5983061101028
39,40,70,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18.0,Credit Card,Monthly,25.826981246218995,1549.6188747731396
40,41,69,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31.0,Debit Card,Quarterly,25.826981246218995,1962.8505747126437
41,42,67,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40.0,Venmo,Annually,1.0,39.0
42,43,20,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15.0,PayPal,Annually,1.0,100.0
43,44,25,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19.0,PayPal,Fortnightly,26.0,1794.0
44,45,39,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,52.0,2756.0
45,46,50,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25.0,PayPal,Annually,1.0,21.0
46,47,57,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,25.826981246218995,1110.5601935874167
47,48,55,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36.0,Cash,Weekly,52.0,2808.0
48,49,42,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38.0,Cash,Monthly,25.826981246218995,1420.4839685420447
49,50,68,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34.0,Debit Card,Bi-Weekly,25.826981246218995,774.8094373865698
52,53,42,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26.0,Credit Card,Weekly,52.0,1040.0
54,55,47,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35.0,Debit Card,Bi-Weekly,25.826981246218995,2427.7362371445856
55,56,40,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49.0,Credit Card,Annually,1.0,28.0
56,57,41,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46.0,Credit Card,Weekly,52.0,3796.0
57,58,21,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17.0,Debit Card,Fortnightly,26.0,1664.0
58,59,69,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29.0,Venmo,Monthly,25.826981246218995,1394.6569872958257
59,60,63,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4.0,Debit Card,Weekly,52.0,4108.0
60,61,50,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17.0,Cash,Weekly,52.0,1924.0
61,62,55,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21.0,Credit Card,Every 3 Months,25.826981246218995,1756.2347247428918
62,63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31.0,Credit Card,Fortnightly,26.0,546.0
63,64,33,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43.0,Credit Card,Weekly,52.0,4108.0
64,65,65,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18.0,Debit Card,Fortnightly,26.0,2158.0
65,66,65,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,25.826981246218995,929.7713248638838
67,68,45,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49.0,Debit Card,Monthly,25.826981246218995,852.2903811252269
68,69,57,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21.0,Cash,Every 3 Months,25.826981246218995,1188.0411373260738
69,70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5.0,Cash,Weekly,52.0,3640.0
70,71,22,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32.0,Debit Card,Every 3 Months,25.826981246218995,748.9824561403509
71,72,36,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34.0,Bank Transfer,Annually,1.0,48.0
72,73,18,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21.0,Bank Transfer,Every 3 Months,25.826981246218995,671.5015124016938
73,74,48,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43.0,Bank Transfer,Bi-Weekly,25.826981246218995,2195.2934059286144
74,75,49,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3.0,Cash,Monthly,25.826981246218995,1497.9649122807018
75,76,64,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21.0,Credit Card,Annually,1.0,85.0
76,77,50,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32.0,Venmo,Monthly,25.826981246218995,1110.5601935874167
77,78,22,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36.0,Debit Card,Fortnightly,26.0,1378.0
79,80,38,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43.0,Bank Transfer,Every 3 Months,25.826981246218995,2479.3901996370237
80,81,19,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24.0,Credit Card,Every 3 Months,25.826981246218995,1859.5426497277676
81,82,67,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36.0,Credit Card,Every 3 Months,25.826981246218995,2479.3901996370237
82,83,19,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21.0,Credit Card,Every 3 Months,25.826981246218995,723.1554748941319
83,84,36,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34.0,Bank Transfer,Weekly,52.0,2080.0
84,85,52,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42.0,Bank Transfer,Every 3 Months,25.826981246218995,826.4633998790079
85,86,53,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2.0,Debit Card,Bi-Weekly,25.826981246218995,2453.5632183908046
86,87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47.0,Cash,Bi-Weekly,25.826981246218995,1058.906231094979
87,88,52,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Debit Card,Fortnightly,26.0,1378.0
88,89,33,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35.0,Credit Card,Monthly,25.826981246218995,1213.8681185722928
89,90,47,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15.0,Cash,Quarterly,25.826981246218995,2143.6394434361764
90,91,25,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29.0,Credit Card,Monthly,25.826981246218995,1239.6950998185118
91,92,44,Male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18.0,Credit Card,Every 3 Months,25.826981246218995,2556.8711433756807
92,93,61,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13.0,Venmo,Every 3 Months,25.826981246218995,2246.9473684210525
